Ausgabe;Autoren;Rubrik;Titel;Seiten;Abstract
"2014-3";"Andreas Gail";"Computing";"Strichcode-Leser am Robo TX Controller (1): Automatisiert mit RoboPro";"66–71";"Strichcodes oder auch Barcodes begegnen uns täglich bei allem, was wir im Supermarkt oder sonstwo kaufen. Der vorliegende Beitrag zeigt, wie ein Strichcode-Leser mit Standardfischertechnik-Bauteilen aufgebaut werden kann. Weiterhin werden zwei unterschiedliche Automatisierungslösungen vorgestellt: in Teil 1 unter Anwendung der RoboPro Software, in Teil 2 mithilfe von Microsoft Visual Basic 2010."
"2014-3";"Dirk Fox";"Robotik (Computing)";"Navigation";"72–76";"Mit einem GPS- [1] und einem Kompass-Sensor [2] haben wir alles, was wir für die automatische Steuerung eines autonomen fischertechnik-Roboters im Freien benötigen. In diesem Beitrag zeigen wir, wie sich aus den Sensor-Daten die für die Steuerung des Roboters erforderlichen Richtungsinformationen berechnen lassen."
"2014-2";"Dirk Fox";"Editorial";"Zeitbombe";"2";
"2014-2";"Dirk Fox";"Mechanik";"Flaschenzug";"4–10";"Das Problem kennt ihr zweifellos auch: Ein Motor soll eine Last hochziehen – aber nichts tut sich, weil er zu „schwach auf der Brust“ ist. Was tun? Da lohnt ein Blick in die Technikgeschichte – denn für dieses Problem hatten schon unsere Vorfahren vor über 2.500 Jahren eine wirksame mechanische Lösung."
"2014-2";"Stefan Falk";"Tipps & Tricks";"Abluftdrosselung mit dem Pneumatik-Handventil";"11";"„Richtiges Drosseln ist Abluft-Drosseln“, wurde in der „Druckluftsteuerungen“-Artikelserie in der ft:pedia beschrieben. Mit dem aktuellen Pneumatik-Handventil erscheint das leichter gesagt als getan. Deshalb gibt es hier einen einfachen Tipp, mit dem die Abluft dieses Drehschieberventils doch noch gedrosselt werden kann."
"2014-2";"Andreas Tacke";"Tipps & Tricks";"ft-Spezialteile made by TST (Teil 8)";"12–13";"In einer lockeren Reihe stellt TST einige von ihm entwickelte Spezialteile vor, die so manche Lücke beim Bauen mit fischertechnik schließen. Im heutigen Beitrag geht es um Fahrzeugtechnik, genauer gesagt um eine Modifikation des Differentialgetriebes mit stabilen Metallachsen."
"2014-2";"Andreas Gail";"Optik";"Einstieg in Experimente mit Lasern";"14–17";"Laser gewinnen im Bereich der Technik, aber auch in der Medizin, immer weiter an Bedeutung. Längst sind sie nicht mehr Science-Fiction, sondern im täglichen Leben angekommen. Angefangen bei der Scanner-Kasse im Supermarkt, dem CD Spieler zu Hause oder auch als Entfernungsmesser für den Heimwerker. Höchste Zeit also, diese noch immer etwas futuristisch anmutende Technik etwas näher zu betrachten. Beginnen wollen wir mit dem Selbstbau einer Lasereinheit; anschließend folgen zwei Anwendungsbeispiele."
"2014-2";"Johann Fox";"Modell";"Mini-Modelle (Teil 2): Panzer";"18–19";"In der ft:pedia 4/2013 wurde von René Trapp als erstes Mini-Modell im GiveAway-Format ein Gabelstapler vorgestellt. Als nächstes GiveAway folgt hier ein Minipanzer."
"2014-2";"Stefan Falk";"Pneumatik";"Druckluftsteuerungen (Teil 2)";"20–29";"In der letzten Ausgabe haben wir die „Schlauch-Logik“ eingeführt, um auch mit aktuell produzierten Teilen von fischertechnik pneumatische Steuerungen herstellen zu können. Diese Reise setzen wir fort, um weitere mit den Ur-Pneumatik-Teilen machbare Steuerschaltungen auch mit heute noch hergestellten Teilen zu realisieren."
"2014-2";"Dirk Uffmann";"Computing";"Nutzung des Universal-Interfaces 30520 als Port-Erweiterung an einem Mikrocontroller";"30–35";"In der Ausgabe 1/2014 der ft:pedia [1] hat Jens Lemkamp in seinem Beitrag gezeigt, wie man an einem Arduino-Board das alte ft-Parallel-Interface betreiben kann. Das funktioniert auch an einem beliebigen AVR-Mikrocontroller mit fünf freien I/Os, z. B. mit dem Board, das ich euch ebenfalls in der letzten Ausgabe der ft:pedia vorgestellt habe [2]. Oder mit einem in das Gehäuse des ft-Interfaces eingebauten Mini-Board von 30x40 mm, das sich leicht auf einer Lochrasterplatine aufbauen lässt. In diesem Beitrag verrate ich euch einen Trick, wie man mit Übertragungsraten von bis zu 800 kbit/s an dem alten Universal-Interface 30520 zeitlich parallel die Eingänge abfragen und die Motoren steuern – und sogar insgesamt zwei Interfaces für 16 Eingänge und acht Motoren betreiben kann."
"2014-2";"Jens Lemkamp";"Computing";"ft-Interface durch Arduino gesteuert (2)";"36–39";"1981 brachte fischertechnik die Elektronik 30253 heraus – als Nachfolger der guten alten Silberlinge. Viele Fans haben noch Bestände im Schrank, auch kann man noch gebrauchte Module günstig erwerben. Unser kleines Projekt zeigt, wie man diese Bausteine mit dem Arduino verknüpfen kann: Wir erzeugen damit Töne, steuern Motoren und Lampen."
"2014-2";"Erik Andresen";"Computing";"Von Kameras, Himbeeren und schwarzen Hundeknochen";"40–47";"Über fünf Jahre nach der Einführung des TX-Controllers ist es an der Zeit, ft-Modelle mit Kameras auszustatten. Für die Umsetzung eignen sich preisgünstige ARM-Boards wie der Raspberry Pi oder das Beaglebone Black am Robo-Interface. Als Kamera kann dabei jede mit Linux kompatible USB-Webcam verwendet werden. Die hier vorgestellten Bibliotheken OpenCV und GStreamer helfen bei der Auswertung und Visualisierung der Kamerabilder."
"2014-2";"Marco Ahlers";"Computing";"Schau‘ mir in die Augen, Kleiner! Kamera am TX-Controller";"48–56";"Wer nicht auf den neuen fischertechnik-Controller warten möchte, der kann auch dem TXController sehen und sprechen beibringen: Dazu braucht ihr wenig mehr als ein Arduino-Board, einen Raspberry Pi und eine handelsübliche Webcam."
"2014-2";"Dirk Fox";"Computing";"I²C mit dem TX – Teil 10: Kompass-Sensoren";"57–64";"Inzwischen haben wir einige I²C-Sensoren vorgestellt, die sich direkt an den TX anschließen und mit Robo Pro nutzen lassen – und spannende Einsatzmöglichkeiten eröffnen. Ein echter „Klassiker“ fehlte bisher in der Reihe: der Kompass-Sensor."
"2014-2";"Ad van der Weiden";"Computing";"TX Bridge";"65–71";"The TX is not backward compatible with the Robo-Interface so the extension modules cannot be used as slaves of the TX. To expand the number of inputs or outputs on a TX you need to buy a full TX while you may still have a few extension modules which will provide you with 4 motor outputs, 8 digital inputs and an analog input. Looking for a solution is a logical step, but fischertechnik has not revealed a lot of information about the interfaces. Luckily, Thomas Kaiser (thkais) has done a lot of hard work on this."
"2014-2";"Andreas Gail";"Modell";"Detail Engineering (2) – Ansteuerung von Leistungsmotoren";"72–75";"Im Rahmen des Baus eines Robotermodells wurde eine Reihe von ganz unterschiedlichen Detaillösungen erarbeitet, die durchaus Lösungsansätze bei diversen anderen Bauprojekten sein könnten. Im zweiten Beitrag der Serie wird der Antrieb vorgestellt."
"2014-2";"Thomas Püttmann";"Analogcomputer (Mechanik)";"Der Seilcomputer Kelvin";"76–88";"Mit wenigen Bauteilen und auf einer Grundplatte entsteht ein fischertechnik-Seilcomputer, der lineare Gleichungssysteme löst und die Optik und Haptik klassischer analoger Messgeräte besitzt. Er eignet sich hervorragend als Lernspielzeug, weil er das zentrale mathematische Konzept der linearen Gleichungssysteme anschaulich und begreifbar macht."
"2014-1";"Dirk Fox";"Editorial";"ft in die Schulen!";"2";
"2014-1";"Dirk Fox";"Nachrichtentechnik (Elektromechanik)";"Morsetelegraf";"4–10";"Tatsächlich gab es einmal eine Zeit ohne Telefon, Funk, Film, Fernsehen und Internet. Und das ist gar nicht so lange her… Bis eine der entscheidenden Erfindungen der Nachrichtentechnik, der Morsetelegraf, die Welt veränderte."
"2014-1";"Erik Busch, Jörg Busch";"Fahrzeugtechnik (Modell)";"Bergbau-Radlader";"11–18";"Der Bergbau-Radlader ist unser erstes Modell, das wir auf der ft-Convention ausgestellt haben. Die Herausforderung bei Baufahrzeugen mit Knicklenkung ist die Ansteuerung der Pneumatik-Zylinder für die Lenkung, wenn diese mit der ft-Fernsteuerung proportional angesteuert werden sollen. Kernstück des Radladers ist deshalb ein mechanischer Regler, der eine gefühlvolle Lenkung mit Pneumatik ermöglicht."
"2014-1";"Andreas Tacke";"Tipps & Tricks";"ft-Spezialteile made by TST (Teil 7)";"19–20";"In einer lockeren Reihe stellt TST einige von ihm entwickelte Spezialteile vor, die so manche Lücke beim Bauen mit fischertechnik schließen. Im heutigen Beitrag geht es um Strom, bzw. eine zweipolige Verteilerleiste……"
"2014-1";"Harald Steinhaus";"Tipps & Tricks";"Kaulquappen (Teil 4)";"21–23";"Wir rekapitulieren: Kaulquappen sind Entwürfe, die noch etwas heranreifen müssen, bis sie zu Fröschen werden. Davon muss man viele küssen (als technische Problemlösung ausprobieren). Das alles in der Hoffnung, dass ein paar davon zu Prinzen werden und nicht gar zu viele bitter schmeckende Kröten darunter sind."
"2014-1";"Jens Lemkamp";"Computing";"Parallel-Interface durch Arduino gesteuert (1)";"24–30";"Man schrieb das Jahr 1984, als wir mit dem C64, Schneider CPC, später auch Amigas oder Atari STs und IBM-PCs die ersten Computing-Modelle steuern konnten. Eine neue Welt, in der wir durch selbst geschriebene Programme in der Programmiersprache BASIC Roboter-Modelle zum Leben erweckten. „Bit“ und „Byte“ waren damals noch Fremdworte. Dieses Projekt zeigt, wie man die alten Interfaces mit moderner kostengünstiger Steuer-Elektronik wieder nutzbar machen kann – auch noch „autonom“, also fast wie mit einem TX Conroller."
"2014-1";"Marco Ahlers";"Computing";"Arduino mit dem TX verbinden";"31–38";"Wer die Grenzen des Robo TX Controllers sprengen möchte, kann auf den Nachfolger TXT warten, zu Lego Mindstorms wechseln, sich grämen, ein eigenes Mikrocontroller-Board bestücken [1] – oder einen Arduino zu Hilfe nehmen."
"2014-1";"Dirk Uffmann";"Computing";"ft-Modellsteuerung mit selbst gebautem Mikrocontroller-Board";"39–46";"Einige kennen vielleicht diesen Wunsch: Ich habe mehrere fischertechnik-Modelle, die ich mit einem TX-Controller steuern möchte – aber mir fehlt das Budget für die nötige Anzahl dieser Bausteine. Außerdem möchte ich die Eingangssignale in Echtzeit verarbeiten, z. B. zum Auslösen von Interrupt-Service-Routinen, die das Hauptprogramm unterbrechen und mit denen die Zeit zwischen zwei Signaländerungen sehr genau gemessen werden kann. Und ich möchte die I/O- Pins der Steuerung flexibler nutzen, z. B. auch als Output zur Erzeugung von Pulsen für Lichtschranken oder zum Schalten von LEDs. Wenn ihr ähnliche Wünsche habt, dann zeigt euch dieser Beitrag einen Weg, mit dem ihr euch diese erfüllen könnt."
"2014-1";"Dirk Fox";"Computing";"I²C mit dem TX – Teil 9: LC-Displays";"47–57";"Das Display des TX eignet sich nur sehr eingeschränkt als Ausgabeeinheit oder zur Kontrolle des Programmablaufs: Der Kontrast ist schwach und das 16 Zeichen breite Display sehr klein (2 x 3 cm) und unbeleuchtet. Zudem schaltet es sich bei einigen Programmen nach kurzer Zeit ab – offenbar ein Designfehler. Dank I²C-Schnittstelle ist jedoch Abhilfe möglich: Für kleines Geld gibt es leistungsfähige LC-Displays, die sich vom TX ansteuern lassen."
"2014-1";"Stefan Falk";"Pneumatik";"Druckluftsteuerungen (Teil 1)";"58–72";"Wie in ft:pedia 4/2013 versprochen, beginnen wir mit diesem Artikel eine kleine Reihe zu pneumatischen Steuerungen. Im Gegensatz zur einfachen manuellen Ansteuerung eines Zylinders mit dem aktuellen Handventil werden wir Logikschaltungen und Steuerungen in reiner Pneumatik realisieren."
"2014-1";"Andreas Gail";"Modell";"Detail Engineering R2D3 (1) – Gleitring-Lager";"73–74";"Im Rahmen des Baus des Robotermodells R2D3 wurde eine Reihe von ganz unterschiedlichen Detaillösungen erarbeitet, die durchaus Lösungsansätze bei diversen anderen Bauprojekten sein könnten. In einer kleinen Serie werden sie vorgestellt. Den Anfang macht ein Gleitring-Lager."
"2013-4";"Dirk Fox";"Editorial";"Ausgedünnt";"2";
"2013-4";"René Trapp";"Modell";"Mini-Modelle (Teil 1): Gabelstapler";"4–5";"Erinnert ihr euch an die Mini-Modelle der fischertechnik-„GiveAways“, wie die Straßenwalze [1] oder der Oldtimer [2]? In einer kleinen Serie werden wir weitere solcher charmanten Kleinstmodelle vorstellen. Den Anfang macht ein Gabelstapler im GiveAway-Format."
"2013-4";"Stefan Falk";"fischertechnik-Basiswissen (Grundlagen)";"Perlentauchen (Teil 5)";"6–15";"In diesem Teil der Reihe tauchen wir ab in die faszinierende Welt der fischertechnik-Pneumatik, stellen dar, was es schon alles gab, wie sich die Dinge weiterentwickelt haben – und was davon heute noch erhältlich ist."
"2013-4";"Andreas Tacke";"Tipps & Tricks";"ft-Spezialteile made by TST (Teil 6)";"16–17";"In einer lockeren Reihe stellt TST einige von ihm entwickelte Spezialteile vor, die so manche Lücke beim Bauen mit fischertechnik schließen. Im heutigen Beitrag geht es um Zubehör für den XM- bzw. Encoder-Motor."
"2013-4";"Werner Hasselberg";"Elektronik";"Automatik zur Steuerung eines Krans";"18–27";"fischertechnik und der Kranbau sind seit der Erfindung der Statik-Elemente untrennbar miteinander verbunden. Eigentlich kein Wunder: Mit keinem anderen Spielsystem lassen sich bessere und vielseitigere Kräne bauen. Und weil sie so schön zu bauen sind, beschäftigt sich dieser Beitrag mit der Frage, wie sie vollautomatisch – und ohne PC-Hilfe – gesteuert werden können. Die hier gezeigte Steuerung ist aber noch vielseitiger. Sie kann, etwas erweitert, sogar einen dreiachsigen Roboter steuern, ohne dass dazu ein Computer erforderlich wäre."
"2013-4";"Dirk Fox";"Computing";"I²C mit dem TX – Teil 7: Real Time Clock (RTC)";"28–34";"Seit der Einführung in die Grundlagen des I²C-Protokolls in ft:pedia 3/2012 [3] haben wir in unserer I²C-Serie schon einige Sensoren und Aktoren vorgestellt, die sich an den TX anschließen und in Robo Pro-Programmen nutzen lassen. In diesem Beitrag stellen wir einen Aktor vor, der z. B. unsere ft-Funkuhr aus ft:pedia 3/2012 [1] perfekt ergänzt: eine Batterie gepufferte Echtzeituhr."
"2013-4";"Dirk Fox";"Computing";"I²C mit dem TX – Teil 8: Ultraschall-Sensor";"35–40";"Der Abstandssensor des TX misst die Distanz zu einem Objekt via Ultraschall und liefert das Ergebnis in cm. Der Sensor lässt sich sehr einfach aus Robo Pro ansprechen und gut im ft-Raster verbauen [1]. Allerdings gibt es Ultraschall-Sensoren mit I²C-Schnittstelle, die über die eine oder andere Zusatzfunktion verfügen und sich zudem in größerer Zahl an den I²C-Bus des TX anschließen und auswerten lassen. Für autonome Roboter sind sie eine Bereicherung."
"2013-3";"Dirk Fox";"Editorial";"Alarmsignale";"2";
"2013-3";"Dirk Fox";"Antriebstechnik (Mechanik)";"Der Elektromotor";"4–8";"Aus fischertechnik-Baukästen sind Elektromotoren nicht wegzudenken – schon in der „grauen Frühzeit“ ließen der mot.1 (1967) und der mini-mot.1 (1969) Kinderherzen höher schlagen. Aber weiß auch jeder, wie ein solcher Motor funktioniert? Dabei lässt sich ein Elektromotor sogar mit fischertechnik konstruieren."
"2013-3";"René Trapp";"Antriebstechnik (Mechanik)";"Kenndaten der ft-Motoren";"9–29";"Bei der Planung eines motorbetriebenen Funktions- oder Anschauungsmodells fällt es mangels entsprechender Motordaten oft schwer, den „richtigen“ Motor auszuwählen. Mit Kenntnis der Motordaten ließe sich vorab eine Aussage über die Eignung eines Motors für den geplanten Einsatz treffen, den voraussichtlichen Arbeitspunkt könnte man an Hand eines Rechenmodells ermitteln. Die dazu notwendigen Kenndaten eines Motors selbst zu bestimmen, ist gar nicht so schwer wie es vielleicht auf den ersten Blick scheint. Professionelle Motorenprüfstände sind dafür nicht erforderlich – einfache Aufbauten reichen aus. Der Umgang mit dem Rechenmodell ist auch kein Hexenwerk."
"2013-3";"Werner Hasselberg";"Elektronik";"Automatik für weichen Motorstart und -stopp";"30–35";"Getreu dem Grundsatz von fischertechnik, technische Bildung zu vermitteln, will dieser Beitrag zeigen, wie man mit den Elektronik-Bausteinen von Fischertechnik aus den 1980iger Jahren umgeht und was man mit ihnen machen kann. Der Beitrag beschreibt im Detail, wie ein Motor vollelektronisch gesteuert langsam zum Stehen kommt, eine gewisse Zeit gestoppt bleibt, um dann ebenso langsam wieder auf Touren zu kommen. Dazu existiert im Begleitheft [1] bereits ein Vorbild, der „weiche Start und Stopp“ eines Motors, das hier aber beträchtlich erweitert wird, um eine vollautomatische Funktionssteuerung zu erhalten."
"2013-3";"Andreas Tacke";"Tipps & Tricks";"ft-Spezialteile made by TST (Teil 5)";"36–37";"In einer lockeren Reihe stellt TST einige von ihm entwickelte Spezialteile vor, die so manche Lücke beim Bauen mit fischertechnik schließen. Diesmal geht es um raffinierte Modifikationen des Hubgetriebes 37272."
"2013-3";"Stefan Falk";"Tipps & Tricks";"Raffiniertes mit Achsen";"38–41";"Kurz und knapp stellen wir zwei pfiffige Detaillösungen mit Achsen in der Hauptrolle vor."
"2013-3";"Johannes Visser";"3D-Modellentwurf (Tipps & Tricks)";"Erstellung von Bauteilen für den ft-Designer";"42–53";"Der ft-Designer von Michael Samek (Demoversion) erfreut sich großer Beliebtheit bei der Dokumentation eigener fischertechnik-Modelle. Der eine oder andere Nutzer ist vermutlich schon darüber gestolpert, dass er ein selteneres Bauteil für sein Modell benötigte, das in der (sehr umfangreichen) Bauteilbibliothek fehlt. Was tun, wenn auch ein Bauteilupdate nicht hilft? Entweder Michael Samek bitten, das Bauteil zu ergänzen – oder: Selber machen!"
"2013-3";"Dirk Fox";"Computing";"I²C mit dem TX – Teil 6: GPS-Sensor";"54–62";"In unserer I²C-Serie haben wir bereits einige I²C-Komponenten vorgestellt, die sich seit dem Firmware-Update vom April 2012 an den TX anschließen und mit RoboPro nutzen lassen. In dieser Folge stellen wir einen etwas komplexeren Sensor vor – mit dem man in die faszinierende Welt der Navigation eintauchen kann."
"2013-3";"Stefan Falk";"In eigener Sache (Reportage)";"Gründung des ftc Modellbau e. V.";"63";"Nach einiger Vorbereitungszeit wurde am 31.08.2013 offiziell der „ftc Modellbau e. V.“ gegründet, der „Modellbau mit fischertechnik“ fördern will."
"2013-2";"Dirk Fox";"Editorial";"Es werde Licht!";"2";
"2013-2";"Harald Steinhaus";"Tipps & Tricks";"Neue ft-Teile selbst gemacht: 3D-Druck";"4–10";"Auch der versierteste ft-Konstrukteur stößt gelegentlich an Grenzen – nicht jedes Modell lässt sich ohne Kompromisse mit fischertechnik realisieren. Wer nicht mit Kompromissen leben mag, dem bietet sich neben Modding [1], Plaast-Guss [2] und TSTs Spezialteilen [3] eine vierte Möglichkeit: die eigene Produktion in Kleinstauflage – ganz professionell mit CAD-Entwurf und 3D-Druck."
"2013-2";"Andreas Tacke";"Tipps & Tricks";"ft-Spezialteile made by TST (Teil 4)";"11–12";"In einer lockeren Reihe stellt TST einige von ihm entwickelte Spezialteile vor, die so manche Lücke beim Bauen mit fischertechnik schließen. Diesmal geht es um den richtigen Dreh an der Flach- bzw. Doppelnabe sowie der Spannzange 35113."
"2013-2";"Dirk Fox";"Tipps & Tricks";"Verkabelung";"13–17";"Anders als die fischertechnik-Bausteine folgt die Verkabelung eines Modells keinem Raster. Wer nicht nur funktionstüchtige, sondern auch elegante Modelle mag, muss sich daher etwas einfallen lassen, will er verhindern, dass wilde Kabelstränge Abschläge an der Ästhetik-Note einbringen. Da sich diese Herausforderung seit der Einführung des ersten fischertechnik-Motors im Jahr 1967 stellt, gibt es inzwischen den einen oder anderen Tipp aus der Praxis…"
"2013-2";"Stefan Falk";"fischertechnik-Basiswissen (Grundlagen)";"Perlentauchen (Teil 4)";"18–30";"In dieser Folge stellen wir die wichtigsten Elemente der fischertechnik-Elektronik aus fünf Elektronik-Generationen von 1969 bis heute vor."
"2013-2";"Stefan Falk";"Elektronik";"Elektronisch gesteuerte Sortiermaschine";"31–40";"Nachdem wir in der ft:pedia Motorsteuerungen von einfachen Taster-Schaltungen bis zu elektromechanischen Programmsteuerungen dargestellt haben, leiten wir heute zu einer Reihe elektronisch gesteuerter Maschinen über. Den Anfang macht wieder ein echter Klassiker: Eine Maschine, die längere und kürzere Bauteile erkennt und trennt."
"2013-2";"Dirk Fox";"Computing";"I²C mit dem TX – Teil 4: Nunchuk-Fernsteuerung";"41–49";"Seit dem Firmware-Update vom April 2012 auf Version 1.30 lassen sich am TX beliebige I²C-Komponenten anschließen. Nach einer Einführung in die Grundlagen des I²C-Protokolls [1], in die Ansteuerung eines LED-Displays [2] und in die Luftdruckmessung [3] wird in diesem Beitrag vorgestellt, wie aus einem Nunchuk – einem „Steuerknüppel“ für die Nintendo-Spielkonsole Wii – eine I²C-Fernsteuerung wird."
"2013-2";"Georg Stiegler";"Computing";"I²C mit dem TX – Teil 5: Multiplexer";"50–52";"Seit dem Firmware-Update vom April 2012 auf Version 1.30 lassen sich am TX beliebige I²CKomponenten anschließen und mit den Robo Pro Versionen ab 3.1.3 ansteuern. Will man dabei mehrere Komponenten mit der gleichen I²C-Adresse betreiben kann man drohende Adress-Konflikte mit einem sogenannten Multiplexer vermeiden."
"2013-2";"Helmut Wunder";"Computing";"fischertechnik und Lego";"53–59";"Auch wenn zur Zeit der aktuelle Lego NXT dem Ende seiner Vertriebszeit entgegen geht (ab Herbst kommt der abwärtskompatible Nachfolger EV3), so ist er doch zur Zeit z. B. bei ebay recht preiswert gebraucht erhältlich (unter 100 €) und daher sicher auch für viele fischertechniker – ähnlich wie Arduino-basierte Systeme – als Spiel- und Experimentierfeld interessant."
"2013-1";"Dirk Fox";"Editorial";"Konkurrenz belebt das Geschäft. Hoffentlich.";"2";
"2013-1";"Stefan Falk";"Elektromechanik";"Programmsteuerungen";"4–19";"Als Fortsetzung der Motorsteuerungen-Artikelserie schauen wir uns heute an, wie man nur mit elektromechanischen Mitteln programmgesteuerte Maschinen bauen kann. Den Ablauf der einzelnen Vorgänge in der Maschine kann man dann durch Austausch des „Programms“ beliebig neuen Anforderungen anpassen."
"2013-1";"Andreas Tacke";"Tipps & Tricks";"ft-Spezialteile made by TST (Teil 3)";"20–21";"In einer lockeren Reihe stellt TST einige von ihm entwickelte Spezialteile vor, die so manche Lücke beim Bauen mit fischertechnik schließen. Nach seinen Antriebswellen mit Motor-Adaptern (ft:pedia 2/2012) und seiner Lösung für die stabile Montage von Power-Motoren (ft:pedia 3/2012) folgt ein Spezialteil, das die Herzen von Roboter-Fans höher schlagen lassen dürfte."
"2013-1";"Stefan Falk";"fischertechnik-Basiswissen (Grundlagen)";"Perlentauchen (Teil 3)";"22–31";"Nach Standardbauteilen und Elektromotoren setzen wir unsere fischertechnik-Zeitreise mit einem Querschnitt durch die vielfältigen Teile aus dem Bereich Elektromechanik fort."
"2013-1";"Georg Stiegler";"Computing";"I²C mit dem TX – Teil 3: Luftdruckmessung";"32–38";"Seit dem Firmware-Update vom April 2012 auf Version 1.30 lassen sich am TX beliebige I²CKomponenten anschließen und mit den Robo Pro Versionen ab 3.1.3 ansteuern. Nach einer Einführung in die Grundlagen des I²C-Protokolls [1] und in die Ansteuerung eines LEDDisplays [2] wird in diesem Beitrag der Anschluss und die Nutzung eines I²C-Luftdrucksensors vorgestellt."
"2013-1";"Dirk Fox";"Messen (Computing)";"„Einmessen“ eines digitalen Messgeräts";"39–48";"Will man Sensoren für die Messung physikalischer Größen verwenden, müssen Spannung, Stromstärke, Widerstandswert oder Zeit ins Verhältnis zu der zu messenden Größe gesetzt werden. Einige Sensoren leisten das in Hardware – so bestimmt z. B. der Ultraschall-Sensor von fischertechnik aus den Signallaufzeiten den Abstand in cm. Die meisten einfachen Sensoren (wie z. B. der ft-Temperatursensor) liefern jedoch nur einen Widerstandswert zwischen 0 und 5 kOhm zurück. Der Beitrag stellt vor, wie man eine geeignete Ausgleichsfunktion ermittelt, die die Messwerte des Sensors in eine physikalische Größe umrechnet. Dabei ist ein wenig angewandte Mathematik unvermeidlich – lasst euch von den Formeln nicht abschrecken, darin kommen fast ausschließlich die Grundrechenarten vor…"
"2013-1";"Stefan Falk";"In eigener Sache (Reportage)";"ft:pedia gedruckt";"49";"Einen oft geäußerten Wunsch vieler Leser der ft:pedia hat Ralf Knobloch wahr werden lassen: Sämtliche Ausgaben der ft:pedia gibt es – neben dem auch zukünftig kostenlosen pdf-Download – im Knobloch-Shop gedruckt und in Farbe."
"2012-4";"Dirk Fox";"Editorial";"Das Geheimnis des Lernens";"2";
"2012-4";"Ralf Geerken";"Kinematik (Mechanik)";"Die Geradführung einer Viergelenkkette im Einsatz bei einer kleinen Laufmaschine";"4–10";"In vielen Fällen der „Praktischen Getriebelehre“ wird eine Kreisbewegung in eine geradlinige Bewegung umgesetzt. Hier wird nicht nur erklärt wie man mithilfe eines Koppelkurvengetriebes einer Laufmaschine zu einem parallelen Gang verhilft, sondern auch wie man mithilfe einer Koppelkurvenscheibe die unterschiedlichsten Kurvenformen auf Papier bringen kann."
"2012-4";"Walter-Mario Graf";"Schienenfahrzeuge (Modell)";"fischertechnik-Eisenbahn (Teil 1)";"11–13";"Im ersten Teil möchte ich euch aufzeigen, wie ich vom Thema „fischertechnik-Eisenbahn“ infiziert wurde. Ich möchte euch, das heißt vor allem den Kindern, die Eisenbahn ein bisschen schmackhaft machen. Den Bericht schließe ich mit einer kleinen Bauanleitung. In Teil 2, der zu einem späteren Zeitpunkt erscheinen wird, geht es dann um das Thema fischertechnik-Gartenbahn."
"2012-4";"Stefan Falk";"fischertechnik-Basiswissen (Grundlagen)";"Perlentauchen (Teil 2)";"14–21";"In der letzten Ausgabe zeigten wir ein paar gebräuchliche und weniger gebräuchliche ältere fischertechnik-Teile. Heute setzen wir fort mit ein paar interessanten mechanischen Teilen und einem Querschnitt über die vielen früher verwendeten Motortypen und ihr Zubehör."
"2012-4";"Thomas Püttmann";"Getriebe";"Handaufzug-Mechanik";"22–23";"Eine mechanische Uhr kann man durch Drehen der Krone in beide Richtungen aufziehen. Wie die Gleichrichtung der Drehbewegung funktioniert, wird anhand eines fischertechnik-Modells erklärt."
"2012-4";"Stefan Brunner";"Elektronik";"Die Ein- und Ausgänge des TX Controllers";"24–31";"Unter dem Weihnachtsbaum befindet sich dein neues fischertechnik ROBO Computing Set. So klein – der ROBO TX Controller – und so viele Anschlüsse: 10 V- oder 5k-Modus, Analog oder Digital – huch? M- und O-Ausgänge? Du weißt zwar nicht genau, was man mit dem ROBO TX Controller alles machen kann, aber eines erkennst du sofort: Es könnte kompliziert werden, da etwas anzuschließen…"
"2012-4";"Dirk Fox";"Computing";"I²C mit dem TX – Teil 2: LED-Display";"32–37";"Seit dem Firmware-Update vom April 2012 auf Version 1.30 lassen sich am TX Controller I²C-Komponenten anschließen und mit Robo Pro Version 3.1.3 ansteuern. Nach der Einführung in die Grundlagen des I²C-Protokolls [1] wird in diesem Beitrag die Nutzung eines LED-Displays am TX vorgestellt."
"2012-4";"Dirk Fox";"Antriebstechnik (Mechanik)";"Die Dampfmaschine";"38–45";"Die Entwicklung der Dampfmaschine vor genau 300 Jahren hat die Welt stärker verändert als jede andere technische Erfindung zuvor. Als Erfinder gilt allgemein James Watt – tatsächlich hat er sie lediglich (wenn auch in wichtigen Punkten) weiterentwickelt. Das Funktionsprinzip einer Dampfmaschine lässt sich unter Verwendung eines Pneumatik-Kolbens mit fischertechnik sehr anschaulich nachbilden."
"2012-3";"Dirk Fox";"Editorial";"Neue Welten";"2";
"2012-3";"Dirk Fox, Dirk Ottensmeyer";"Computing";"Bau einer ft-Funkuhr";"4–10";"Der TX Controller kann nicht nur Sensoren auswerten, sondern auch andere analoge und digitale Signale. Ein besonders interessantes Signal, das in ganz Europa empfangen und mit einer Investition von ca. 10 Euro direkt über einen der Digitaleingänge eingelesen werden kann, ist das Zeitsignal DCF77 der Physikalisch-Technischen Bundesanstalt – die „Atomuhrzeit“. Der Beitrag skizziert die Entstehung dieses Zeitsignals und zeigt, wie ihr mit Robo Pro aus dem TX Controller eine fischertechnik-Funkuhr machen könnt."
